input_question,mapped_question,expected_tag,predicted_tag,cosine_similarity,classifier_confidence,prediction_source,question,primary_tag,top1_correct,topk_correct,top_k_tags,top_k_scores,top_k_sources,all_fused_tags,all_fused_scores,all_fused_sources,num_dropped
স্বর্গীয় বাবার জাতীয় পরিচয় সংশোধনের আবেদন প্রক্রিয়া কেমন?,স্বর্গীয় স্বামীর জাতীয় পরিচয়পত্র সংশোধনের সঠিক পদ্ধতি কী?,dead_people_id_card_update,dead_people_id_card_update,0.966650,0.999710,sts+classifier,স্বর্গীয় বাবার জাতীয় পরিচয় সংশোধনের আবেদন প্রক্রিয়া কেমন?,dead_people_id_card_update,1,1,dead_people_id_card_update,1.000000,sts+classifier,dead_people_id_card_update|card_information_correction|nid_information_misentry_correction_procedure|parents_name_correction_new|how_to_apply_for_correction_in_online_portal|parents_or_spouse_death_related_documents_to_declare_death|service_provided|parent_spouse_name_correct_or_add_document_new|online_card_correction|way_to_cancel_correction_application|correction_fee_payment|correction_application_current_status|spouse_name_correction_new|age_and_dob_correction|parent_no_card_failed_to_be_voter|nid_wallet_download|smart_card_lost_how_to_get_new_one_again|agent_calling|greeting_and_request_for_question|husband_talak_name_remove|profession_change|nid_wallet_download_iphone|birthplace_correction_new|updated_nid_after_correction|card_damaged_how_to_get_new_card,1.000000|0.000104|0.000063|0.000056|0.000035|0.000017|0.000006|0.000004|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
জাতীয় পরিচয়পত্রের অনলাইন অপশনগুলো কী কী?,জাতীয় পরিচয়পত্রের অনলাইন সেবাগুলো কী কী?,online_apply,online_apply,0.984238,0.999699,sts+classifier,জাতীয় পরিচয়পত্রের অনলাইন অপশনগুলো কী কী?,online_apply,1,1,online_apply,1.000000,sts+classifier,online_apply|online_no_apply|greeting_and_request_for_question|online_portal_registration|how_to_apply_for_correction_in_online_portal|foreign_resident_card_registration_query_country_limitation|wish_to_create_nid_smart_card_new|service_provided|online_card_correction|card_information_correction|online_new_voter_registration|address_change_online_new|new_voter_online_what_documents_to_submit|warning_to_prank_caller|nid_wallet_download|delayed_question_prompt|new_voter_apply_online_what_documents_needed|how_many_wife_name_can_be_added_in_nid_card|nid_wallet_download_iphone|voter_area_change_online|permanent_address_update_procedure|voter_slip_lost_how_to_get_nid|faster_voter_registration|smart_card_ready_sms|name_correction_in_nid_card,1.000000|0.000134|0.000115|0.000026|0.000007|0.000005|0.000004|0.000004|0.000003|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
অনলাইন রেজিস্ট্রেশনের পর অফিসে কী কী কপি জমা দিতে হবে?,অনলাইনে রেজিস্ট্রেশনের পর অফিসে জমা দেওয়ার কাগজ কোনগুলো?,new_voter_online_what_documents_to_submit,new_voter_apply_online_what_documents_needed,0.976226,0.451912,sts+classifier,অনলাইন রেজিস্ট্রেশনের পর অফিসে কী কী কপি জমা দিতে হবে?,new_voter_apply_online_what_documents_needed,0,0,new_voter_apply_online_what_documents_needed,0.910612,sts+classifier,new_voter_apply_online_what_documents_needed|signature_correction|wish_to_create_nid_smart_card_new|delayed_question_prompt|online_new_voter_registration|online_portal_registration|online_card_correction_application_done_now_what|qr_code_clarification|font_problem_in_new_voter_registration_form|sms_after_picture_how_many_days|online_apply|no_otp_in_registration|foreign_resident_card_registration_required_documents|name_correction_in_nid_card|foreign_resident_action_after_biometrics_new|reissue_supporting_document|new_voter_application_not_submitted_to_upazila_or_thana_office|picture_done_but_lost_or_no_sms_slip|photo_correction|new_voter_no_messages_from_upzila_or_thana|voter_slip_lost_how_to_get_nid|greeting_and_request_for_question|nid_adjudication_pending|correction_application_rejected_need_new_fee,0.910612|0.000092|0.000031|0.000019|0.000018|0.000015|0.000015|0.000013|0.000009|0.000004|0.000002|0.000002|0.000001|0.000001|0.000001|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
iOS থাকলে এনআইডি ওয়ালেট কিভাবে ম্যানেজ করবো?,আইফোন থাকলে এনআইডি ওয়ালেট নেওয়ার রাস্তা কী?,no_android_phone,no_android_phone,0.965136,0.992295,sts+classifier,iOS থাকলে এনআইডি ওয়ালেট কিভাবে ম্যানেজ করবো?,no_android_phone,1,1,no_android_phone,1.000000,sts+classifier,no_android_phone|nid_wallet_download_alternative|nid_wallet_download|correction_fee_submitted_but_balance_zero|smart_card_fee|no_face_verification|font_problem_in_new_voter_registration_form|nid_adjudication_pending|smart_card_collection_fees|finderprint_adjudication_pending|rocket_mfs_payment_process|parent_no_card_failed_to_be_voter|wish_to_create_nid_smart_card_new|bkash_mfs_payment_process|parents_or_spouse_death_related_documents_to_declare_death|smart_card_print_problem|no_own_house_in_voter_area|parents_name_correction_new|fingerprint_error_info_not_found|correction_fee_payment|age_and_dob_correction|name_correction_in_nid_card|smart_card_ready_sms|new_voter_pre_condition,1.000000|0.000402|0.000143|0.000013|0.000002|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
অ্যাপেল ফোন ব্যবহার করছি; এনআইডি Wallet ইনস্টল কিভাবে করবো?,অ্যাপেল মোবাইল ব্যবহার করছি; এনআইডি ওয়ালেট কিভাবে নামাবো?,nid_wallet_download_iphone,nid_wallet_download_iphone,0.971079,0.965527,sts+classifier,অ্যাপেল ফোন ব্যবহার করছি; এনআইডি Wallet ইনস্টল কিভাবে করবো?,nid_wallet_download_iphone,1,1,nid_wallet_download_iphone,0.735094,sts+classifier,nid_wallet_download_iphone|nid_wallet_download|nid_wallet_download_alternative|font_problem_in_new_voter_registration_form|nid_adjudication_pending|rocket_mfs_payment_process|nid_registration_age|whether_nid_card_required_for_dual_citizenship|smart_card_fee|blood_group_correction|correction_fee_submitted_but_balance_zero|correction_fee_payment|finderprint_adjudication_pending|qr_code_clarification|wish_to_create_nid_smart_card_new|age_and_dob_correction|no_face_verification|smart_card_status|cell_phone_number_correct_or_add_document_new|smart_card_collection_fees|smart_card_ready_sms|bkash_mfs_payment_process|way_to_cancel_correction_application|agent_calling,0.735094|0.001582|0.000144|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
ভোটার তালিকায় অন্তর্ভুক্তির জন্য কোন কোন আইনের উল্লেখযোগ্য শর্ত আছে?,ভোটার তালিকায় অন্তর্ভুক্তির আইনি শর্ত কী কী?,new_voter_pre_condition,new_voter_pre_condition,0.973664,0.999398,sts+classifier,ভোটার তালিকায় অন্তর্ভুক্তির জন্য কোন কোন আইনের উল্লেখযোগ্য শর্ত আছে?,new_voter_pre_condition,1,1,new_voter_pre_condition,1.000000,sts+classifier,new_voter_pre_condition|new_nid_card_age|wish_to_create_nid_smart_card_new|no_own_house_in_voter_area|nid_registration_age|voter_area_change|new_voter_fees|faster_voter_registration|double_voter_registration_issue|underaged_card_holder_to_voter|online_new_voter_registration|foreign_resident_card_registration_process|voter_area_query|nid_adjudication_pending|new_voter_but_card_rejected|card_information_correction|necessary_documents_to_modify_voter_area|foreign_resident_card_registration_required_documents|foreign_resident_card_registration_query_country_limitation|warning_to_prank_caller|new_voter_application_cancelled|new_voter_identifier_who|request_for_clear_pronunciation|name_correction_in_nid_card|online_portal_registration,1.000000|0.000590|0.000005|0.000005|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"আবেদন ড্রাফটে আছে, ফি পেইড; ব্যালেন্স শূন্য কেন দেখায়, কি করণীয়?",ড্রাফটে আবেদন রেখে পেমেন্ট করেছি; ব্যালেন্স শূন্য—কি করা উচিত?,correction_fee_submitted_but_balance_zero,correction_fee_submitted_but_balance_zero,0.959032,0.999930,sts+classifier,"আবেদন ড্রাফটে আছে, ফি পেইড; ব্যালেন্স শূন্য কেন দেখায়, কি করণীয়?",correction_fee_submitted_but_balance_zero,1,1,correction_fee_submitted_but_balance_zero,1.000000,sts+classifier,correction_fee_submitted_but_balance_zero|card_correction_request_canceled_by_consumer_regarding_refund_fees|softwere_bug_in_card_processing_system|card_correction_request_failed_query_regarding_refund_fees|no_face_verification|face_verification_no_next_option|utility_bill_not_available_for_address_proof|bkash_mfs_payment_process|card_correction_fees_payment_reference_nid_number_query|new_voter_no_messages_from_upzila_or_thana|nid_wallet_download_alternative|voter_halnagad_registration_not_done|no_upzila_in_online_registration|finderprint_adjudication_pending|photo_signature_change_application_not_approved|correction_fee_payment|eight_hours_time_up|picture_done_but_lost_or_no_sms_slip|no_android_phone|parent_no_card_failed_to_be_voter|foreign_resident_card_picture_done__inquery_done_no_msg_new|account_locked_retrials|no_upzila_in_permananet_address|new_voter_application_not_submitted_to_upazila_or_thana_office|nid_adjudication_pending,1.000000|0.000049|0.000019|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"একশত পাঁচে জানতে পেরেছি স্থানীয় থানা অফিসে যেতে হবে, কিন্তু আমি অন্য জায়গায়—কি করা উচিত?",একশ পাঁচে কল করে জানলাম স্থানীয় অফিসে যেতে হবে; আমি বাইরে—কী করব এখন?,one_zero_five_upzila_office_contact,one_zero_five_upzila_office_contact,0.964547,0.999877,sts+classifier,"একশত পাঁচে জানতে পেরেছি স্থানীয় থানা অফিসে যেতে হবে, কিন্তু আমি অন্য জায়গায়—কি করা উচিত?",one_zero_five_upzila_office_contact,1,1,one_zero_five_upzila_office_contact,1.000000,sts+classifier,one_zero_five_upzila_office_contact|not_getting_smart_card_though_newer_voter_getting|correction_messages_but_no_update_in_card_no_approve|no_upzila_in_permananet_address|how_to_complain_not_getting_help_from_election_office|new_voter_application_not_submitted_to_upazila_or_thana_office|new_voter_no_messages_from_upzila_or_thana|photo_done_years_ago_but_no_card|goodbye|foreign_resident_card_picture_done__inquery_done_no_msg_new|closing_statement|photo_sms_but_not_in_upzila_other_when|address_change_counselor_chairperson_signature|foreign_resident_card_picture_done_not_inquery_from_upzilla_new|ten_digit_nid_password_changing_problem|nid_digit_format_missmatch_in_passport|correction_applied_but_no_category|smart_card_distributed_in_my_area_but_my_card_not_received|voter_area_change_not_reflected|reissue_apply_why_pending_and_urgent_reissue_seven_days_over|new_voter_card_not_taken_has_form_no_can_not_register_online|utility_bill_not_available_for_address_proof|request_for_feedback_or_suggestions|request_for_clear_pronunciation|agent_calling,1.000000|0.000038|0.000018|0.000011|0.000010|0.000009|0.000007|0.000007|0.000006|0.000002|0.000002|0.000002|0.000002|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
স্মার্ট আইডি রেডি হলে কি কর্তৃপক্ষ এসএমএস দেয়?,স্মার্ট আইডি রেডি হলে কি এসএমএসের মাধ্যমে জানাবেন?,smart_card_ready_sms,smart_card_ready_sms,0.979582,0.999987,sts+classifier,স্মার্ট আইডি রেডি হলে কি কর্তৃপক্ষ এসএমএস দেয়?,smart_card_ready_sms,1,1,smart_card_ready_sms,1.000000,sts+classifier,smart_card_ready_sms|smart_card_printing_status_sms_how|smart_card_fee|smart_card_collection_fees|wish_to_create_nid_smart_card_new|smart_card_selected_but_get_pdf|login_using_old_id_password|smart_card_collect_by_other|smart_card_lost_reissue|new_voter_got_normal_card_when_get_smart_card|online_previously_registered|smart_card_from_where|nid_wallet_download_iphone|smart_card_status|smart_card_lost_how_to_get_new_one_again|age_and_dob_correction|persent_address_correction_procedure|photo_sms_but_not_in_upzila_other_when|online_apply|permanent_address_update_procedure|no_android_phone|account_locked_unlock_request|foreign_resident_card_collection|new_voter_apply_online_what_documents_needed|nid_wallet_download,1.000000|0.000004|0.000003|0.000002|0.000002|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
অনলাইনে কি ঠিকানা ট্রান্সফার করা যায়?,ঠিকানা ট্রান্সফার অনলাইনে করা সম্ভব কি?,address_change_online_new,address_change_online_new,0.989128,0.997744,sts+classifier,অনলাইনে কি ঠিকানা ট্রান্সফার করা যায়?,address_change_online_new,1,1,address_change_online_new,1.000000,sts+classifier,address_change_online_new|voter_area_change_online|persent_address_correction_procedure|permanent_address_update_procedure|address_change_card_download_process|together_present_and_permanent_address_change|online_no_apply|online_apply|voter_area_change_ongoing|agent_calling|card_avail_after_address_change|online_card_correction|service_provided|greeting_and_request_for_question|how_many_wife_name_can_be_added_in_nid_card|closing_statement|address_change_counselor_chairperson_signature|goodbye|no_own_house_in_voter_area|voter_area_query|photo_sms_but_not_in_upzila_other_when|login_using_old_id_password|online_new_voter_registration|smart_card_collect_by_other|present_and_permanent_address_generic_new,1.000000|0.001079|0.001070|0.000082|0.000008|0.000006|0.000003|0.000003|0.000002|0.000001|0.000001|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
জন্ম সনদের ঠিকানা আলাদা হলে নতুন ভোটার হওয়ার জন্য কি ঠিকানা আপডেট করতে হবে?,"নতুন ভোটার রেজিস্ট্রেশনে জন্ম সনদের ঠিকানা যদি আলাদা হয়, তখন কী ঠিকানা গ্রহণযোগ্য?",reigister_as_new_voter_but_birth_registration_different_address,reigister_as_new_voter_but_birth_registration_different_address,0.971548,0.999981,sts+classifier,জন্ম সনদের ঠিকানা আলাদা হলে নতুন ভোটার হওয়ার জন্য কি ঠিকানা আপডেট করতে হবে?,reigister_as_new_voter_but_birth_registration_different_address,1,1,reigister_as_new_voter_but_birth_registration_different_address,1.000000,sts+classifier,reigister_as_new_voter_but_birth_registration_different_address|birth_certificate_and_ssc_certificate_different_information|birth_certificate_number_correct_or_add_document_new|no_own_house_in_voter_area|voter_area_change|father_and_my_adress_different|birthplace_correction_new|age_and_dob_correction|voter_halnagad_registration_not_done|card_avail_after_address_change|ten_digit_nid_password_changing_problem|old_birth_certificate|present_and_permanent_address_generic_new|present_address_change_process_duration|together_present_and_permanent_address_change|voter_area_change_ongoing|whom_to_communicate_for_dual_citizenship_certificate|ask_if_any_other_questions|address_cahgne_but_no_post_office_or_office_code|nid_match_found_verification_failed_how_to_solve|permanent_address_change_fees|foreign_resident_multiple_registration_new|parents_name_correction_new|voter_area_change_not_reflected|underaged_card_holder_to_voter,1.000000|0.000016|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
ভোটার ট্রান্সফার আবেদনে কার সই আনতে হবে—চেয়ারম্যান নাকি ওয়ার্ড কাউন্সিলর?,ভোটার ঠিকানা ট্রান্সফারের আবেদনপত্রে সই কার—চেয়ারম্যান না কাউন্সিলর?,address_change_counselor_chairperson_signature,address_change_counselor_chairperson_signature,0.970163,0.999993,sts+classifier,ভোটার ট্রান্সফার আবেদনে কার সই আনতে হবে—চেয়ারম্যান নাকি ওয়ার্ড কাউন্সিলর?,address_change_counselor_chairperson_signature,1,1,address_change_counselor_chairperson_signature,1.000000,sts+classifier,address_change_counselor_chairperson_signature|new_voter_application_cancelled|new_voter_application_not_submitted_to_upazila_or_thana_office|necessary_documents_to_modify_voter_area|how_to_complain_not_getting_help_from_election_office|way_to_cancel_correction_application|voter_area_change|no_own_house_in_voter_area|utility_bill_not_available_for_address_proof|new_nid_card_age|new_voter_online_what_documents_to_submit|voter_area_change_online|new_voter_apply_online_what_documents_needed|new_voter_no_messages_from_upzila_or_thana|online_no_apply|photo_sms_but_not_in_upzila_other_when|one_zero_five_upzila_office_contact|voter_area_query|address_change_online_new|father_and_my_adress_different|agent_calling|voter_area_change_not_reflected|sms_after_picture_how_many_days|underaged_card_holder_to_voter|voter_area_change_ongoing,1.000000|0.000002|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
"ভুল তথ্যের কারণে লক হয়েছিল, এখন আট ঘণ্টা পরেও ঠিক হয়নি—সমাধান কী?",কিছু ভুল ইনফো দিয়েছিলাম একাউন্ট লক হয়ে গেছিল এখন আট ঘন্টা পরেও এইটা খুলতেছে না কি করবো?,eight_hours_time_up,eight_hours_time_up,0.951247,0.956689,sts+classifier,"ভুল তথ্যের কারণে লক হয়েছিল, এখন আট ঘণ্টা পরেও ঠিক হয়নি—সমাধান কী?",eight_hours_time_up,1,1,eight_hours_time_up,1.000000,sts+classifier,eight_hours_time_up|account_locked_retrials|information_correct_but_account_locked|account_locked|account_locked_unlock_request|card_lock|double_voter_registration_issue|correction_application_status|correction_application_current_status|correction_applied_but_no_category|representative_contact_outside_business_hours|closing_statement|goodbye|card_information_correction|photo_signature_change_application_not_approved|request_for_feedback_or_suggestions|correction_fee_submitted_but_balance_zero|nid_information_misentry_correction_procedure|no_face_verification|card_correction_request_canceled_by_consumer_regarding_refund_fees|voter_halnagad_registration_not_done|online_application_pending|no_otp_in_registration|card_correction_one_information_maximum_limit|new_voter_application_cancelled,1.000000|0.044229|0.000551|0.000480|0.000007|0.000002|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
অ্যান্ড্রয়েড নেই; এনআইডি Wallet অতি দ্রুত নেওয়ার কী ব্যবস্থা?,অ্যান্ড্রয়েড ডিভাইস নাই; এনআইডি Wallet কিভাবে পাবো?,no_android_phone,no_android_phone,0.969225,0.996916,sts+classifier,অ্যান্ড্রয়েড নেই; এনআইডি Wallet অতি দ্রুত নেওয়ার কী ব্যবস্থা?,no_android_phone,1,1,no_android_phone,1.000000,sts+classifier,no_android_phone|nid_wallet_download_iphone|nid_wallet_download|parent_no_card_failed_to_be_voter|nid_wallet_download_alternative|correction_fee_submitted_but_balance_zero|faster_voter_registration|account_locked_unlock_request|smart_card_fee|no_own_house_in_voter_area|nid_adjudication_pending|parents_or_spouse_death_related_documents_to_declare_death|parents_name_correction_new|name_correction_in_nid_card|smart_card_collection_fees|wish_to_create_nid_smart_card_new|instant_card_correction_fee|new_voter_fees|card_lock|utility_bill_not_available_for_address_proof|bkash_mfs_payment_process|rocket_mfs_payment_process|correction_fee_payment|new_voter_application_cancelled|eight_hours_time_up,1.000000|0.001578|0.000776|0.000260|0.000239|0.000080|0.000063|0.000028|0.000011|0.000011|0.000009|0.000009|0.000005|0.000004|0.000003|0.000003|0.000002|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
জাতীয় পরিচয়পত্র হারালে অনলাইনে রিপ্লেসমেন্ট কীভাবে করবো?,জাতীয় পরিচয়পত্র হারালাম—অনলাইনে কীভাবে রিপ্লেসমেন্ট চাইবো?,voter_slip_lost_how_to_get_nid,voter_slip_lost_how_to_get_nid,0.981638,0.976148,sts+classifier,জাতীয় পরিচয়পত্র হারালে অনলাইনে রিপ্লেসমেন্ট কীভাবে করবো?,voter_slip_lost_how_to_get_nid,1,1,voter_slip_lost_how_to_get_nid,1.000000,sts+classifier,voter_slip_lost_how_to_get_nid|card_lost_no_info_how_to_get_new|smart_card_lost_how_to_get_new_one_again|card_damaged_how_to_get_new_card|smart_card_lost_reissue|correction_slip_lost_can_get_card|card_lost_and_damaged_cost|receipt_lost_how_to_get_new_card|picture_done_but_lost_or_no_sms_slip|card_lost_new_card_fee|new_voter_how_to_get_card|wish_to_create_nid_smart_card_new|service_provided|photo_done_years_ago_but_no_card|reissue_supporting_document|new_voter_apply_online_what_documents_needed|voter_slip_lost_how_to_get_new_card|voter_card_damaged|card_information_correction|foreign_resident_card_registration_process|new_voter_online_what_documents_to_submit|online_apply|new_card_got_old_card_found_what_to_do|online_portal_registration,1.000000|0.008152|0.005869|0.003887|0.003146|0.001190|0.000528|0.000490|0.000323|0.000210|0.000094|0.000068|0.000046|0.000033|0.000027|0.000024|0.000016|0.000013|0.000009|0.000006|0.000002|0.000002|0.000000|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,23
কার্ডের অফিসিয়াল ওয়েবসাইটে নিবন্ধিত হতে কোন ধাপ অনুসরণ করতে হবে?,কার্ডের অনলাইন সাইটে রেজিস্ট্রেশন কমপ্লিট করার উপায় কী?,online_portal_registration,online_portal_registration,0.956375,0.958167,sts+classifier,কার্ডের অফিসিয়াল ওয়েবসাইটে নিবন্ধিত হতে কোন ধাপ অনুসরণ করতে হবে?,online_portal_registration,1,1,online_portal_registration,1.000000,sts+classifier,online_portal_registration|online_previously_registered|online_new_voter_registration|wish_to_create_nid_smart_card_new|how_to_apply_for_correction_in_online_portal|online_card_correction|online_apply|no_upzila_in_online_registration|account_locked|card_information_correction|signature_correction|new_voter_online_what_documents_to_submit|new_voter_apply_online_what_documents_needed|permanent_address_update_procedure|voter_slip_lost_how_to_get_nid|address_change_online_new|delayed_question_prompt|foreign_resident_card_registration_process|new_voter_identifier_who|card_damaged_how_to_get_new_card|no_otp_in_registration|account_locked_retrials|online_card_correction_application_done_now_what|login_using_old_id_password|qr_code_clarification,1.000000|0.014797|0.010622|0.009965|0.003692|0.002186|0.000701|0.000468|0.000283|0.000278|0.000121|0.000110|0.000076|0.000036|0.000023|0.000015|0.000014|0.000012|0.000006|0.000006|0.000006|0.000005|0.000003|0.000001|0.000000,sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
আমার স্মার্ট কার্ড প্রস্তুত কি না জানতে কোথায় যাব?,"আমার স্মার্ট কার্ড কি রেডি হয়েছে, জানবো কীভাবে?",not_getting_smart_card_though_newer_voter_getting,smart_card_status,0.970753,0.993850,sts+classifier,আমার স্মার্ট কার্ড প্রস্তুত কি না জানতে কোথায় যাব?,smart_card_status,0,0,smart_card_status,1.000000,sts+classifier,smart_card_status|smart_card_from_where|not_getting_smart_card_though_newer_voter_getting|smart_card_distributed_in_my_area_but_my_card_not_received|photo_done_years_ago_but_no_card|wish_to_create_nid_smart_card_new|smart_card_printing_status_sms_how|correction_application_status|smart_card_print_problem|card_lock|nrb_application_status|voter_slip_lost_how_to_get_nid|card_damaged_how_to_get_new_card|smart_card_selected_but_get_pdf|new_voter_smart_card_how_to_get|foreign_resident_card_collection|profession_change|nid_information_misentry_correction_procedure|smart_card_ready_sms|correction_application_current_status|permanent_address_change_process_duration|smart_card_lost_how_to_get_new_one_again|smart_card_fee|new_voter_got_normal_card_when_get_smart_card|request_for_clear_pronunciation,1.000000|0.027979|0.004100|0.000418|0.000193|0.000050|0.000028|0.000023|0.000009|0.000008|0.000005|0.000004|0.000002|0.000002|0.000002|0.000001|0.000001|0.000001|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,sts+classifier|sts+classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier|classifier,24
